experiment_tag,w1_min_cls,w2_min_cls,w3_min_cls,w4_min_cls,w5_min_cls,w6_min_cls,w7_min_cls,w8_min_cls,w9_min_cls,w10_min_cls,w11_min_cls,w12_min_cls
11AAA,0,0,1,0,1,0,0,1,0,0,0,0
11ART,0,0,0,0,0,0,0,0,0,0,0,0
12ADD,0,0,0,0,1,0,0,1,1,0,0,1
12BBB,0,0,0,0,0,0,0,0,0,0,0,0
13AHS,0,1,1,0,1,1,1,1,0,0,0,0
14AMP,1,1,1,0,1,1,1,1,1,0,0,0
14DDD,0,0,1,1,0,1,1,0,0,0,0,0
15AIN,0,1,0,0,0,0,0,0,0,0,0,0
15EEE,0,0,1,1,1,1,1,1,1,1,1,1
16AAS,0,1,1,1,1,0,0,0,1,1,1,1
16FFF,0,1,0,1,0,0,0,0,1,1,0,1
17ALS,0,0,0,0,0,0,0,0,0,0,0,0
17GGG,0,0,0,0,0,0,0,0,0,0,0,0
18ANA,1,1,1,1,1,1,1,0,1,1,1,1
18HHH,0,0,0,0,0,0,0,0,0,0,0,0
19ABA,0,1,0,1,1,1,1,1,1,1,1,1
19III,0,0,0,0,0,0,0,0,0,0,0,0
20AIS,0,0,0,0,0,0,0,0,0,0,0,0
20JJJ,0,0,0,1,0,0,0,0,0,0,0,0
21APP,1,1,1,1,1,1,1,0,0,1,1,1
21ZZZ,0,1,0,1,0,1,1,1,1,1,1,1
22ANY,0,0,0,0,1,0,0,0,0,0,0,0
23AIM,1,1,1,1,1,1,1,1,1,1,1,1
23MMM,0,0,0,0,0,0,0,0,0,0,0,0
24ARC,0,0,0,0,0,0,0,0,0,0,0,0
24NNN,1,0,1,0,0,1,1,0,0,0,1,1
25AGO,0,1,0,1,1,1,1,1,1,1,1,1
25OOO,0,0,0,0,0,0,0,0,0,0,0,0
26AMI,0,0,0,0,0,0,0,0,0,0,0,0
26PPP,0,0,0,0,0,0,0,0,0,0,0,0
27ABS,0,0,0,0,1,1,1,1,1,1,1,1
27QQQ,0,0,1,1,1,1,1,0,1,1,1,1
28ALE,0,0,0,1,1,1,1,0,1,1,1,1
28RRR,0,0,0,0,0,0,1,0,0,0,1,1
29AMA,0,1,0,0,1,0,0,0,0,0,0,1
29SSS,0,1,1,0,1,1,1,1,1,0,1,1
30ACE,1,0,1,1,1,1,1,0,1,1,1,1
30TTT,1,0,0,1,1,1,0,1,1,1,1,1
31ADZ,1,1,1,1,0,0,0,1,0,0,0,0
31UUU,0,0,0,0,0,0,0,0,0,0,0,0
32ASH,0,0,0,0,0,0,0,0,0,0,0,1
32VVV,0,0,0,0,0,0,0,0,0,0,0,0
33APO,0,1,1,1,1,1,1,1,1,1,1,0
33WWW,0,0,1,0,0,1,1,0,0,0,0,0
34ALT,0,1,1,1,1,1,1,1,1,1,1,1
34XXX,0,0,0,0,0,0,0,0,0,0,0,0
35ABY,0,0,0,0,0,0,0,0,0,0,0,0
35YYY,0,1,0,1,1,1,1,0,1,1,1,1
36ADO,1,1,1,1,1,1,1,1,1,1,1,1
36ZZZ,0,1,0,0,0,1,1,1,1,0,1,1
37AAA,0,1,1,1,1,1,1,0,0,1,0,0
37AND,0,0,0,0,0,0,0,0,0,0,0,0
38ALL,0,0,0,0,0,0,0,0,0,0,1,1
38BBB,0,1,1,1,0,1,1,1,1,0,0,0
39ARE,0,0,0,0,0,0,0,0,0,0,0,0
39CCC,0,0,0,1,0,1,1,1,1,1,0,1
40ARS,0,0,0,0,0,0,0,0,0,0,0,0
40DDD,1,1,1,1,0,0,0,0,0,0,0,0
41ACT,1,1,0,1,0,1,1,0,1,1,1,1
41EEE,1,0,0,0,0,0,0,0,0,0,0,0
42AMU,0,1,0,0,0,0,0,0,0,0,0,0
42FFF,0,0,0,0,0,0,0,0,0,0,0,0
43AGS,0,0,0,0,0,0,0,0,0,0,0,0
43GGG,0,0,0,0,0,0,0,0,0,0,0,0
44ANI,0,1,1,0,1,1,1,1,1,1,1,1
44HHH,0,1,1,0,1,1,1,1,1,1,1,1
45ANE,0,0,0,0,0,0,0,0,0,0,0,0
45III,0,0,0,0,0,0,0,0,0,0,0,0
46ANT,0,1,0,0,1,1,0,1,1,1,1,1
46JJJ,0,0,0,0,0,0,0,0,0,0,0,0
47AGA,1,1,0,1,1,1,1,1,1,1,1,1
47ZZZ,1,1,0,0,0,0,0,0,0,0,0,0
48AIL,0,0,0,0,0,0,0,0,0,0,0,0
48LLL,1,1,1,1,1,1,1,1,1,1,1,1
49AFF,0,1,1,1,1,1,1,1,1,1,1,1
49MMM,0,1,1,0,1,1,1,1,1,1,1,1
50ALA,0,0,0,0,0,0,0,0,0,0,0,0
50NNN,0,1,0,0,0,0,0,0,0,0,1,1
51AHA,1,0,1,1,1,1,0,1,1,1,1,1
51OOO,0,0,0,0,0,0,0,0,0,0,0,0
52AGE,0,0,0,0,0,0,0,0,0,0,0,0
52PPP,0,1,1,0,1,1,1,1,1,1,1,1
53AIT,0,0,0,0,0,0,0,0,0,0,0,0
53QQQ,1,0,1,1,1,1,1,1,1,1,1,1
54AAL,0,0,0,0,0,0,0,0,1,1,0,1
54RRR,0,0,0,0,1,1,0,1,1,1,1,1
55AID,0,1,0,0,1,0,0,0,1,0,0,1
55SSS,0,1,1,1,1,1,0,0,0,0,0,0
56ARM,0,1,1,1,1,1,1,1,1,1,1,0
56TTT,1,1,1,1,1,1,1,1,1,1,1,1
57APT,1,1,1,1,1,1,1,1,1,1,1,1
57UUU,0,0,0,0,1,1,0,1,1,1,0,1
58AHI,0,0,0,1,1,1,1,1,1,1,1,1
58VVV,1,0,1,1,1,1,1,1,1,1,1,1
59ART,0,1,0,0,0,0,1,0,1,1,1,1
59WWW,0,0,0,0,0,0,0,0,0,0,0,0
60ADS,0,0,0,0,0,0,0,0,0,0,0,0
60XXX,0,0,1,0,1,1,1,0,0,0,1,1
61ABO,0,0,0,0,0,0,0,0,0,0,0,0
61YYY,0,0,0,1,1,1,1,1,1,1,1,1
62ARK,1,1,1,1,1,1,1,1,1,1,1,1
62ZZZ,0,1,0,0,1,0,0,0,0,0,0,0
63AAA,1,0,0,0,0,0,0,0,0,0,0,0
63AIR,0,0,1,0,0,0,0,0,0,0,0,0
64ARB,0,1,1,1,1,1,1,1,1,1,1,1
64BBB,0,0,0,1,1,1,0,1,1,1,1,1
65AFT,0,1,1,1,1,1,1,1,1,1,1,1
65CCC,0,0,0,0,0,0,1,0,0,0,0,0
66ALB,0,1,1,1,1,1,1,1,1,1,1,1
66DDD,0,1,1,1,1,1,1,1,1,1,1,1
67ABG,0,0,1,0,1,1,1,1,1,0,0,1
67EEE,0,1,0,0,1,1,0,0,1,1,1,1
68AZK,0,0,0,0,0,0,0,0,0,0,0,0
68FFF,0,0,1,1,0,0,0,0,0,0,0,0
69AUU,0,0,0,1,1,1,1,1,1,1,1,1
69GGG,1,1,0,0,0,0,0,0,0,0,0,0
70ALM,0,0,1,0,0,0,0,0,0,0,0,0
70HHH,1,1,1,1,1,1,1,1,1,1,1,1
